City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
berberati,4.2612,15.7922,67.71,95,100,4.74,CF,1619650882
rikitea,-23.1203,-134.9692,76.21,67,43,10.49,PF,1619650882
mednogorsk,51.4128,57.595,43.21,82,75,1.19,RU,1619650882
colwyn bay,53.2948,-3.7267,46.4,71,98,9.22,GB,1619650883
lorengau,-2.0226,147.2712,83.62,74,27,5.55,PG,1619650759
itaituba,-4.2761,-55.9836,77.0,100,75,1.25,BR,1619650883
mountain home,43.133,-115.6912,69.8,10,1,17.27,US,1619650883
mar del plata,-38.0023,-57.5575,68.0,77,0,9.22,AR,1619650684
makakilo city,21.3469,-158.0858,82.4,54,20,9.22,US,1619650884
lumeje,-11.55,20.7833,67.84,72,62,4.03,AO,1619650884
salalah,17.0151,54.0924,84.2,79,40,6.91,OM,1619650830
ushuaia,-54.8,-68.3,39.2,87,75,21.85,AR,1619650885
richmond,37.5538,-77.4603,86.0,35,75,18.41,US,1619650636
cape town,-33.9258,18.4232,57.0,87,20,4.61,ZA,1619650885
kapaa,22.0752,-159.319,72.0,94,90,13.8,US,1619650885
beyneu,45.3167,55.2,60.91,37,99,11.79,KZ,1619650886
avarua,-21.2078,-159.775,84.2,79,75,6.91,CK,1619650671
itarema,-2.9248,-39.9167,78.75,84,89,10.87,BR,1619650886
bethel,41.3712,-73.414,75.2,43,1,9.22,US,1619650887
polyarnyy,69.1989,33.4478,19.4,79,0,2.24,RU,1619650887
saldanha,-33.0117,17.9442,53.6,87,33,3.44,ZA,1619650888
auray,47.6703,-2.9918,45.0,81,0,9.22,FR,1619650888
atuona,-9.8,-139.0333,79.5,71,86,10.56,PF,1619650888
butterworth,5.3991,100.3638,79.0,94,20,5.75,MY,1619650889
dwarka,22.2394,68.9678,80.53,78,99,8.03,IN,1619650889
tarakan,3.3,117.6333,77.0,94,40,1.14,ID,1619650890
shurob,40.0491,70.5489,64.89,25,0,5.53,TJ,1619650890
ous,60.9058,61.5186,35.71,92,98,5.39,RU,1619650890
