City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
anloga,5.7947,0.8973,80.6,83,20,3.44,GH,1619646402
portland,45.5234,-122.6762,73.0,37,75,4.61,US,1619645757
boende,-0.2167,20.8667,71.65,99,99,1.97,CD,1619646270
den helder,52.9599,4.7593,48.2,71,90,18.41,NL,1619646275
cherskiy,68.75,161.3,26.69,94,100,7.63,RU,1619646280
leshukonskoye,64.8989,45.7622,25.2,76,51,3.62,RU,1619646285
derbent,42.0678,48.2899,55.53,71,96,7.61,RU,1619646289
santa vitoria do palmar,-33.5189,-53.3681,58.3,80,3,3.58,BR,1619646450
nikolskoye,59.7035,30.7861,37.99,75,0,4.47,RU,1619646225
iqaluit,63.7506,-68.5145,30.2,93,90,12.66,CA,1619646257
dunedin,-45.8742,170.5036,60.01,81,97,1.01,NZ,1619646306
thompson,55.7435,-97.8558,32.0,29,20,10.36,CA,1619646448
new norfolk,-42.7826,147.0587,55.99,85,100,1.99,AU,1619646231
east london,-33.0153,27.9116,68.52,72,100,10.58,ZA,1619646289
puerto ayora,-0.7393,-90.3518,80.6,78,75,16.11,EC,1619646235
qaanaaq,77.484,-69.3632,31.66,84,100,5.73,GL,1619646264
jamestown,42.097,-79.2353,72.0,77,75,18.41,US,1619645993
rikitea,-23.1203,-134.9692,76.21,67,30,10.6,PF,1619646232
qandala,11.472,49.8728,86.11,64,99,2.53,SO,1619646461
cabedelo,-6.9811,-34.8339,78.8,100,20,5.75,BR,1619646461
rabat,33.9911,-6.8401,64.99,82,75,3.51,MA,1619646462
balabac,7.9868,117.0645,79.65,83,79,8.75,PH,1619646386
hilo,19.7297,-155.09,84.2,51,75,9.22,US,1619646072
yulara,-25.2406,130.9889,51.8,54,0,8.05,AU,1619646118
havoysund,70.9963,24.6622,28.4,93,90,5.75,NO,1619646465
carnarvon,-24.8667,113.6333,62.6,88,0,5.75,AU,1619646237
csanadpalota,46.25,20.7333,54.0,76,75,8.05,HU,1619646466
hobart,-42.8794,147.3294,55.99,71,75,5.75,AU,1619646231
butaritari,3.0707,172.7902,82.76,76,98,11.56,KI,1619646229
geraldton,-28.7667,114.6,59.0,72,92,10.36,AU,1619646278
arraial do cabo,-22.9661,-42.0278,75.2,73,20,3.44,BR,1619646259
nanortalik,60.1432,-45.2371,35.31,92,84,3.85,GL,1619646393
beringovskiy,63.05,179.3167,28.54,76,5,6.6,RU,1619646315
mahebourg,-20.4081,57.7,75.2,94,75,11.5,MU,1619646283
klaksvik,62.2266,-6.589,37.4,87,90,9.22,FO,1619646267
hami,42.8,93.45,60.57,20,18,2.91,CN,1619646469
khatanga,71.9667,102.5,18.86,94,99,4.16,RU,1619646236
castro,-24.7911,-50.0119,55.31,83,19,3.98,BR,1619646225
luena,-11.7833,19.9167,64.45,76,76,3.51,AO,1619645985
cape town,-33.9258,18.4232,57.99,87,20,5.75,ZA,1619646123
longyearbyen,78.2186,15.6401,21.2,68,75,6.91,SJ,1619646023
ushuaia,-54.8,-68.3,39.2,87,75,16.11,AR,1619646234
ulladulla,-35.35,150.4667,54.0,100,0,4.61,AU,1619645983
albany,42.6001,-73.9662,68.0,46,100,3.0,US,1619646239
bredasdorp,-34.5322,20.0403,57.2,72,62,3.44,ZA,1619646258
constitucion,-35.3333,-72.4167,59.77,73,44,9.71,CL,1619645862
kijang,35.2442,129.2139,59.0,77,0,3.44,KR,1619646473
sitka,57.0531,-135.33,48.2,76,75,8.05,US,1619646295
gat,31.61,34.7642,66.99,89,0,7.31,IL,1619646364
kapaa,22.0752,-159.319,77.0,78,90,10.36,US,1619646244
yellowknife,62.456,-114.3525,25.0,58,75,16.11,CA,1619646250
bambous virieux,-20.3428,57.7575,75.99,94,75,11.5,MU,1619645947
ruteng,-8.6136,120.4721,59.9,90,49,0.94,ID,1619646475
dongsheng,39.8161,109.9776,40.35,54,96,18.39,CN,1619646476
kutum,14.2,24.6667,75.13,14,80,6.58,SD,1619646004
zlobin,45.2924,14.6541,55.4,82,75,3.44,HR,1619646478
sao joao da barra,-21.6403,-41.0511,75.2,78,0,3.44,BR,1619646277
chokurdakh,70.6333,147.9167,10.33,92,76,8.61,RU,1619646269
inta,66.0317,60.1659,27.66,96,100,8.75,RU,1619646480
bani walid,31.7566,13.9942,74.82,40,62,7.27,LY,1619646481
ketchikan,55.3422,-131.6461,48.2,93,90,4.61,US,1619646049
barrow,71.2906,-156.7887,19.4,86,90,9.22,US,1619646004
otradnoye,59.7775,30.8181,37.99,75,0,4.47,RU,1619646483
dikson,73.5069,80.5464,18.18,96,100,7.31,RU,1619646279
pacific grove,36.6177,-121.9166,64.4,59,1,6.91,US,1619646266
port macquarie,-31.4333,152.9167,55.0,96,86,1.01,AU,1619646259
avera,33.194,-82.5271,84.2,47,40,5.75,US,1619646240
pisco,-13.7,-76.2167,68.0,88,90,5.75,PE,1619646282
mana,5.6592,-53.7767,76.91,88,100,8.95,GF,1619645967
kumluca,36.3703,30.2869,70.48,55,85,1.01,TR,1619646490
broome,42.2506,-75.833,73.99,46,20,9.22,US,1619645951
mataura,-46.1927,168.8643,55.99,82,99,8.01,NZ,1619646238
atuona,-9.8,-139.0333,79.52,71,85,11.45,PF,1619646275
shaoxing,30.011,120.5715,62.6,94,99,6.71,CN,1619646492
cabo san lucas,22.8909,-109.9124,78.01,56,20,11.5,MX,1619646245
waipawa,-41.4122,175.5153,55.4,71,0,13.8,NZ,1619646566
flinders,-34.5833,150.8552,55.0,94,8,3.02,AU,1619646567
kumla,59.1277,15.1434,44.6,61,40,5.75,SE,1619646574
inirida,3.8653,-67.9239,75.99,94,99,1.5,CO,1619646401
touros,-5.1989,-35.4608,80.6,78,40,5.75,BR,1619646459
airai,-8.9266,125.4092,57.25,67,15,1.39,TL,1619646294
loiza,18.4313,-65.8802,78.8,78,75,10.36,PR,1619646583
tual,-5.6667,132.75,83.19,68,84,5.21,ID,1619646584
zhezkazgan,47.8043,67.7144,65.59,59,100,4.63,KZ,1619646585
molina,-35.1167,-71.2833,68.0,49,0,5.75,CL,1619646586
punta arenas,-53.15,-70.9167,41.0,87,75,31.07,CL,1619646150
batagay-alyta,67.8006,130.4114,13.08,77,13,3.09,RU,1619646305
lima,-12.0432,-77.0282,68.0,77,20,6.91,PE,1619646587
whitehorse,60.7161,-135.0538,37.99,44,75,10.36,CA,1619646303
pevek,69.7008,170.3133,19.49,83,100,11.14,RU,1619646276
lompoc,34.6391,-120.4579,73.99,52,0,19.57,US,1619646125
labytnangi,66.6572,66.4183,23.49,94,100,10.0,RU,1619646589
ust-nera,64.5667,143.2,28.4,93,89,2.01,RU,1619646425
bluff,-46.6,168.3333,55.99,82,99,8.01,NZ,1619646246
arkhangelsk,64.5401,40.5433,24.8,93,20,3.36,RU,1619646591
wageningen,51.9667,5.6667,52.0,53,90,10.36,NL,1619646592
noumea,-22.2763,166.4572,75.0,73,0,2.3,NC,1619646252
lobito,-12.3481,13.5456,79.16,81,48,6.33,AO,1619646593
hobyo,5.3505,48.5268,84.02,67,59,10.8,SO,1619646594
clyde river,70.4692,-68.5914,21.2,79,75,10.36,CA,1619646250
sosnovo-ozerskoye,52.5249,111.5418,16.61,85,12,2.71,RU,1619646455
georgetown,5.4112,100.3354,78.01,94,20,3.44,MY,1619646233
praia da vitoria,38.7333,-27.0667,57.2,94,75,10.69,PT,1619646408
darnah,32.767,22.6367,81.73,19,61,27.16,LY,1619646596
edd,13.9297,41.6925,85.26,70,38,3.33,ER,1619646597
caiaponia,-16.9567,-51.8103,72.54,51,60,4.99,BR,1619646597
gornyy,55.1153,83.9059,39.0,87,56,5.59,RU,1619646598
vaini,-21.2,-175.2,78.8,89,75,9.22,TO,1619646234
mugur-aksy,50.35,90.5,36.48,86,42,5.66,RU,1619646599
wewak,-3.5534,143.6268,79.39,80,90,6.06,PG,1619646600
mpophomeni,-29.5682,30.1862,66.99,91,40,3.74,ZA,1619646601
lazaro cardenas,17.9583,-102.2,84.4,59,49,13.29,MX,1619646065
lagoa,39.05,-27.9833,58.71,67,27,13.87,PT,1619645802
avarua,-21.2078,-159.775,84.2,79,20,6.91,CK,1619646150
the valley,18.217,-63.0578,77.0,73,40,11.5,AI,1619646401
walvis bay,-22.9575,14.5053,61.0,82,0,3.44,NA,1619646243
tuktoyaktuk,69.4541,-133.0374,26.6,80,20,17.27,CA,1619646247
diamantino,-14.4086,-56.4461,74.73,73,88,3.09,BR,1619646605
san quintin,30.4833,-115.95,65.43,60,0,13.06,MX,1619645914
henderson,36.0397,-114.9819,81.0,12,1,21.85,US,1619646606
half moon bay,37.4636,-122.4286,78.8,67,1,10.36,US,1619646256
ostrovnoy,68.0531,39.5131,23.25,89,100,7.72,RU,1619645876
saint-philippe,-21.3585,55.7679,73.4,83,0,8.05,RE,1619646248
camacha,33.0833,-16.3333,60.8,72,20,8.05,PT,1619646609
kaitangata,-46.2817,169.8464,55.0,75,99,4.0,NZ,1619646237
lasa,46.6166,10.7002,62.6,81,75,4.61,IT,1619646397
sibolga,1.7427,98.7792,76.05,89,100,3.83,ID,1619645889
ilulissat,69.2167,-51.1,33.8,80,98,8.05,GL,1619646498
green river,41.5286,-109.4662,63.0,17,1,16.11,US,1619646611
la asuncion,11.0333,-63.8628,95.0,43,100,14.97,VE,1619646075
kodiak,57.79,-152.4072,44.6,87,90,12.66,US,1619646246
hermanus,-34.4187,19.2345,50.0,91,15,7.18,ZA,1619646228
ustka,54.5805,16.8619,44.58,82,90,10.76,PL,1619646616
limbang,4.75,115.0,77.0,100,75,5.75,MY,1619646617
lexington,37.9887,-84.4777,71.6,78,90,10.36,US,1619646476
zyryanka,65.75,150.85,28.35,92,100,9.01,RU,1619646619
