City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ekhabi,53.5102,142.9671,31.59,83,100,5.5,RU,1619740220
plettenberg bay,-34.0527,23.3716,56.89,84,89,5.88,ZA,1619739648
rongcheng,30.634,117.8517,71.1,67,0,5.39,CN,1619740221
rikitea,-23.1203,-134.9692,76.44,67,89,10.69,PF,1619740221
zarand,30.8127,56.564,67.46,38,100,2.66,IR,1619740222
cape town,-33.9258,18.4232,60.01,82,20,8.05,ZA,1619740096
albany,42.6001,-73.9662,55.99,90,100,3.0,US,1619739932
paamiut,61.994,-49.6678,36.14,86,2,0.69,GL,1619740223
hobart,-42.8794,147.3294,57.99,88,40,6.91,AU,1619740038
cidreira,-30.1811,-50.2056,65.08,76,0,6.11,BR,1619740223
kathmandu,27.7167,85.3167,57.2,88,20,3.44,NP,1619740223
new norfolk,-42.7826,147.0587,57.99,94,40,8.05,AU,1619739684
mataura,-46.1927,168.8643,54.0,81,100,14.0,NZ,1619740224
khandbari,27.3747,87.2039,68.99,38,82,3.38,NP,1619740224
kupang,-10.1667,123.5833,79.79,81,56,6.98,ID,1619740225
georgetown,5.4112,100.3354,79.0,88,20,3.44,MY,1619739593
constitucion,-35.3333,-72.4167,55.15,88,78,1.74,CL,1619739681
jamestown,42.097,-79.2353,48.2,100,90,13.8,US,1619739636
hilo,19.7297,-155.09,82.4,57,1,11.5,US,1619739630
bredasdorp,-34.5322,20.0403,48.2,87,74,2.3,ZA,1619740225
sadiqabad,28.3062,70.1307,83.57,30,32,7.34,PK,1619740226
hobyo,5.3505,48.5268,84.25,69,92,7.38,SO,1619739788
saint-augustin,51.226,-58.6502,41.95,80,100,5.32,CA,1619740226
busselton,-33.65,115.3333,48.0,99,81,1.01,AU,1619740227
severo-kurilsk,50.6789,156.125,38.1,83,33,5.99,RU,1619739704
highland,34.1283,-117.2086,95.0,10,1,7.0,US,1619740227
geraldton,-28.7667,114.6,64.4,82,90,8.05,AU,1619740228
humberto de campos,-2.5983,-43.4611,74.71,94,94,4.5,BR,1619740228
san patricio,28.017,-97.5169,82.4,78,40,10.36,US,1619740228
ushuaia,-54.8,-68.3,41.0,60,75,3.44,AR,1619740023
sitka,57.0531,-135.33,44.6,87,90,4.61,US,1619739776
marawi,7.9986,124.2928,79.0,79,42,5.99,PH,1619739531
gobabis,-22.45,18.9667,61.27,59,51,8.21,NA,1619739711
bluff,-46.6,168.3333,54.0,83,80,11.99,NZ,1619739629
dakar,14.6937,-17.4441,68.0,94,0,18.41,SN,1619739592
port blair,11.6667,92.75,81.37,76,100,4.74,IN,1619739658
punta arenas,-53.15,-70.9167,41.0,93,90,10.36,CL,1619740231
kapaa,22.0752,-159.319,78.8,61,20,13.8,US,1619739665
berlevag,70.8578,29.0864,29.28,81,100,28.95,NO,1619739668
lavrentiya,65.5833,-171.0,27.48,68,29,4.56,RU,1619739828
hasaki,35.7333,140.8333,66.99,55,20,9.22,JP,1619739545
mahibadhoo,3.7833,72.9667,83.07,71,10,5.5,MV,1619740233
chokurdakh,70.6333,147.9167,15.12,89,66,4.18,RU,1619739511
kyren,51.6828,102.1408,36.27,91,99,0.2,RU,1619740233
goderich,43.7501,-81.7165,41.0,93,100,4.61,CA,1619740234
omsukchan,62.5333,155.8,28.08,89,100,5.28,RU,1619739685
cherskiy,68.75,161.3,21.88,87,100,12.57,RU,1619739484
sept-iles,50.2001,-66.3821,45.0,65,75,3.44,CA,1619740202
izhma,65.0083,53.9113,30.7,63,53,4.27,RU,1619740235
saskylakh,71.9167,114.0833,31.06,91,100,8.46,RU,1619739664
qaanaaq,77.484,-69.3632,26.89,66,95,8.93,GL,1619740235
puerto ayora,-0.7393,-90.3518,76.62,80,46,9.04,EC,1619740236
chuy,-33.6971,-53.4616,56.86,77,0,3.09,UY,1619739696
tamworth,52.634,-1.6959,39.2,93,0,2.3,GB,1619740148
strezhevoy,60.7333,77.5889,35.6,93,75,4.47,RU,1619739961
pietarsaari,63.65,22.6833,35.01,80,0,6.91,FI,1619740237
mar del plata,-38.0023,-57.5575,64.4,77,0,8.05,AR,1619740206
atuona,-9.8,-139.0333,79.52,69,3,5.12,PF,1619740237
hami,42.8,93.45,66.85,18,23,8.46,CN,1619739705
cuiluan,47.72,128.648,53.53,38,24,6.17,CN,1619740238
lagoa,39.05,-27.9833,56.77,62,100,6.55,PT,1619739818
vaini,-21.2,-175.2,75.2,100,90,5.75,TO,1619740238
kaitangata,-46.2817,169.8464,51.42,90,100,6.91,NZ,1619739671
castro,-24.7911,-50.0119,51.66,94,6,5.44,BR,1619739693
yellowknife,62.456,-114.3525,28.0,63,75,13.8,CA,1619739468
asau,46.4333,26.4,50.0,63,18,5.28,RO,1619739695
pangnirtung,66.1451,-65.7125,35.24,84,100,2.59,CA,1619740239
tiksi,71.6872,128.8694,31.51,81,93,6.33,RU,1619739666
carnarvon,-24.8667,113.6333,68.0,94,40,9.22,AU,1619739533
tual,-5.6667,132.75,82.67,72,100,5.82,ID,1619740240
havoysund,70.9963,24.6622,26.6,86,75,19.57,NO,1619740240
saint-philippe,-21.3585,55.7679,75.2,78,41,8.05,RE,1619740240
moreira,41.056,-8.3894,54.0,84,69,1.99,PT,1619740241
hermanus,-34.4187,19.2345,57.0,74,46,7.0,ZA,1619740241
shwebo,22.5667,95.7,81.45,62,10,5.95,MM,1619740241
santa ana,33.7456,-117.8678,93.2,36,1,9.22,US,1619739497
barhi,23.9,80.8,82.13,12,3,5.32,IN,1619740242
iwanai,42.9744,140.5089,43.86,93,100,8.52,JP,1619740242
bandarbeyla,9.4942,50.8122,82.71,77,54,4.14,SO,1619740243
vao,-22.6667,167.4833,75.02,55,77,20.11,NC,1619739752
nelson bay,-32.7167,152.15,69.01,88,20,4.61,AU,1619740243
iralaya,15.0,-83.2333,86.0,74,20,8.05,HN,1619740244
port alfred,-33.5906,26.891,63.39,73,100,13.04,ZA,1619740244
cabo san lucas,22.8909,-109.9124,80.01,27,1,11.5,MX,1619739589
oriximina,-1.7656,-55.8661,76.15,90,82,1.25,BR,1619739694
port hardy,50.6996,-127.4199,53.6,82,90,8.05,CA,1619739736
dicabisagan,17.0818,122.4157,81.05,64,63,1.59,PH,1619739814
quetta,30.199,67.0097,65.12,28,82,3.42,PK,1619740245
mhango,-3.2833,32.85,65.48,87,87,4.27,TZ,1619740245
butaritari,3.0707,172.7902,83.73,74,100,13.87,KI,1619740246
dikson,73.5069,80.5464,0.86,98,94,6.91,RU,1619740246
tuktoyaktuk,69.4541,-133.0374,26.6,68,20,17.27,CA,1619740246
bilibino,68.0546,166.4372,23.4,79,99,6.04,RU,1619739751
ilulissat,69.2167,-51.1,37.4,60,99,3.44,GL,1619739671
yerbogachen,61.2767,108.0108,33.24,75,69,4.25,RU,1619739741
ahipara,-35.1667,173.1667,65.25,61,0,4.47,NZ,1619740247
kodiak,57.79,-152.4072,42.8,75,90,8.05,US,1619740247
barrow,71.2906,-156.7887,21.2,86,90,6.91,US,1619740229
valle de santiago,20.3833,-101.2,86.0,23,1,14.97,MX,1619740248
fortuna,40.5982,-124.1573,66.99,48,1,13.8,US,1619740248
poum,-20.2333,164.0167,76.96,56,59,13.8,NC,1619739680
tuatapere,-46.1333,167.6833,54.0,83,86,11.99,NZ,1619739664
touros,-5.1989,-35.4608,77.0,94,40,4.61,BR,1619739662
bengkulu,-3.8004,102.2655,74.95,92,95,4.83,ID,1619739614
umea,63.8284,20.2597,32.0,80,0,7.09,SE,1619740249
rincon,32.296,-81.2354,86.0,45,75,12.66,US,1619739686
port lincoln,-34.7333,135.8667,68.47,44,28,11.25,AU,1619740250
gizo,-8.103,156.8419,83.44,70,83,5.06,SB,1619739660
tasiilaq,65.6145,-37.6368,32.0,93,75,11.5,GL,1619740250
seymchan,62.8833,152.4333,32.81,92,100,1.25,RU,1619739738
fort nelson,58.8053,-122.7002,48.2,53,90,6.91,CA,1619739456
mujiayingzi,42.1167,118.7833,45.21,17,42,6.35,CN,1619740251
ponta do sol,32.6667,-17.1,55.99,70,47,1.01,PT,1619739710
khasan,42.4308,130.6434,44.58,69,100,8.68,RU,1619739812
arraial do cabo,-22.9661,-42.0278,71.6,88,40,6.91,BR,1619739533
guerrero negro,27.9769,-114.0611,70.12,52,0,17.74,MX,1619739744
grindavik,63.8424,-22.4338,41.0,75,75,1.14,IS,1619739745
punta alta,-38.8759,-62.0736,65.71,65,60,13.82,AR,1619740084
toul,48.6667,5.9167,37.4,87,0,3.44,FR,1619740252
diffa,13.3154,12.6113,84.69,7,4,6.58,NE,1619739703
kalmunai,7.4167,81.8167,79.88,79,73,0.58,LK,1619739633
pevek,69.7008,170.3133,20.21,89,100,7.7,RU,1619739770
udachnyy,66.4167,112.4,24.85,98,94,6.38,RU,1619740253
abu samrah,35.3029,37.1841,69.58,43,2,3.18,SY,1619740254
tessalit,20.1986,1.0114,91.24,8,42,7.25,ML,1619740254
havelock,34.8791,-76.9013,73.0,75,81,11.99,US,1619740254
sydney,-33.8679,151.2073,66.99,72,75,6.91,AU,1619740255
tazovskiy,67.4667,78.7,29.35,96,100,8.43,RU,1619740255
sun prairie,43.1836,-89.2137,62.6,42,75,10.36,US,1619740255
hithadhoo,-0.6,73.0833,83.53,72,98,7.0,MV,1619740256
upernavik,72.7868,-56.1549,26.67,66,95,3.94,GL,1619739694
turayf,31.6725,38.6637,69.8,30,0,11.5,SA,1619739791
mahebourg,-20.4081,57.7,77.0,83,75,10.36,MU,1619739499
port elizabeth,-33.918,25.5701,57.0,95,95,9.22,ZA,1619740257
klaksvik,62.2266,-6.589,37.4,60,90,9.22,FO,1619739550
zhuhai,22.2769,113.5678,79.0,88,20,3.24,CN,1619740257
hay river,60.8156,-115.7999,42.8,33,75,11.5,CA,1619739716
nemuro,43.3236,145.575,41.05,98,100,29.06,JP,1619739659
antsohihy,-14.8796,47.9875,73.0,81,26,5.48,MG,1619740258
skjervoy,70.0311,20.9714,31.05,63,100,23.98,NO,1619739773
tiarei,-17.5333,-149.3333,87.8,58,40,3.44,PF,1619740258
nantucket,41.2835,-70.0995,51.8,87,90,8.05,US,1619739405
pirogovo,56.7796,53.1495,33.01,88,25,6.22,RU,1619740259
peniche,39.3558,-9.3811,54.0,79,100,10.45,PT,1619739774
mogadishu,2.0371,45.3438,82.24,77,88,9.17,SO,1619740259
haines junction,60.7522,-137.5108,48.2,46,100,6.91,CA,1619740260
mount isa,-20.7333,139.5,75.2,53,3,11.5,AU,1619740260
teguldet,57.3064,88.1667,44.76,92,100,10.45,RU,1619740260
mecca,21.4267,39.8261,84.69,46,78,5.1,SA,1619740261
talnakh,69.4865,88.3972,30.15,92,98,4.05,RU,1619739587
avera,33.194,-82.5271,77.0,60,94,7.83,US,1619739667
batagay,67.6333,134.6333,29.64,92,93,1.74,RU,1619740262
jiexiu,37.0244,111.9125,65.21,37,52,18.84,CN,1619740262
ciudad guayana,8.3533,-62.6528,75.0,85,100,3.0,VE,1619740262
laguna,38.421,-121.4238,91.0,13,1,6.91,US,1619739739
lahad datu,5.0268,118.327,81.03,79,35,1.3,MY,1619740263
povenets,62.8487,34.8262,29.37,78,59,5.1,RU,1619740263
mount gambier,-37.8333,140.7667,53.6,94,0,8.05,AU,1619739796
bambous virieux,-20.3428,57.7575,77.0,83,75,10.36,MU,1619740264
whitehorse,60.7161,-135.0538,39.99,87,90,14.97,CA,1619740264
svetlogorsk,52.6333,29.7333,50.59,77,100,13.2,BY,1619740264
sun valley,39.5963,-119.776,84.2,8,75,9.22,US,1619740171
harrismith,-28.2728,29.1295,51.76,77,99,0.47,ZA,1619740265
calama,-22.4667,-68.9333,60.8,14,0,9.22,CL,1619739746
norman wells,65.282,-126.8329,46.4,31,20,8.05,CA,1619740265
airai,-8.9266,125.4092,67.91,72,60,2.86,TL,1619740266
ribeira grande,38.5167,-28.7,57.88,65,86,11.01,PT,1619740266
dekar,-21.5333,21.9333,67.57,52,44,9.82,BW,1619740267
huarmey,-10.0681,-78.1522,68.68,80,1,11.01,PE,1619740267
alta floresta,-9.8756,-56.0861,71.6,95,99,2.06,BR,1619739709
sukpak,51.6667,94.6333,47.64,61,100,4.72,RU,1619740267
kirakira,-10.4544,161.9205,84.76,68,69,8.86,SB,1619740268
togur,58.3631,82.8265,39.36,84,95,15.61,RU,1619739752
axim,4.8699,-2.2405,80.91,80,100,6.17,GH,1619740268
te anau,-45.4167,167.7167,57.69,79,81,4.07,NZ,1619739593
coruripe,-10.1256,-36.1756,77.16,80,62,8.01,BR,1619740269
east london,-33.0153,27.9116,64.27,79,100,10.18,ZA,1619740269
makakilo city,21.3469,-158.0858,82.99,54,75,10.36,US,1619740270
dubrovnik,42.6481,18.0922,59.0,77,0,9.22,HR,1619740270
buenaventura,3.8801,-77.0312,64.99,76,60,1.66,CO,1619740270
pacasmayo,-7.4006,-79.5714,68.81,78,1,12.88,PE,1619740271
nome,64.5011,-165.4064,30.0,64,40,17.27,US,1619740271
khatanga,71.9667,102.5,31.55,93,100,7.43,RU,1619740271
afua,-0.1567,-50.3867,75.4,93,74,4.36,BR,1619740272
rawson,-43.3002,-65.1023,63.9,58,99,3.94,AR,1619740272
kempsey,-31.0833,152.8333,66.0,83,25,1.01,AU,1619740272
kandiaro,27.0601,68.2091,83.46,34,49,6.15,PK,1619740273
puerto escondido,15.85,-97.0667,84.2,65,75,3.44,MX,1619739488
portland,45.5234,-122.6762,78.8,29,75,3.44,US,1619739446
bushehr,28.9684,50.8385,76.55,59,0,4.32,IR,1619740274
ostrovnoy,68.0531,39.5131,24.17,85,94,13.49,RU,1619739597
kozhva,65.1073,57.0459,28.38,67,63,0.83,RU,1619740274
petropavlovsk-kamchatskiy,53.0452,158.6483,42.8,65,20,4.47,RU,1619739790
bilma,18.6853,12.9164,85.57,7,0,9.69,NE,1619739755
visnes,59.3556,5.2242,35.6,80,17,3.44,NO,1619740275
sao filipe,14.8961,-24.4956,72.77,77,51,7.56,CV,1619739711
ixtapa,20.7,-105.2,82.4,74,1,11.5,MX,1619739713
thompson,55.7435,-97.8558,33.8,40,20,14.97,CA,1619739684
yellapur,14.9667,74.7167,72.27,87,37,2.42,IN,1619740276
urucara,-2.5364,-57.76,74.25,95,62,1.07,BR,1619740276
lazaro cardenas,17.9583,-102.2,80.38,71,85,11.23,MX,1619740276
iqaluit,63.7506,-68.5145,33.8,93,90,6.91,CA,1619739698
murgab,37.4966,61.9714,68.0,68,90,13.8,TM,1619740277
clyde river,70.4692,-68.5914,24.8,100,90,12.66,CA,1619739666
jhalrapatan,24.55,76.1667,83.5,24,59,7.29,IN,1619740094
san lorenzo,-25.3333,-57.5333,62.6,72,0,3.44,PY,1619740278
beaverlodge,55.2166,-119.4361,64.4,36,75,17.27,CA,1619740278
beverley,53.8459,-0.4233,37.99,86,8,4.61,GB,1619740093
lebu,-37.6167,-73.65,55.53,93,98,6.73,CL,1619740279
abha,18.2164,42.5053,62.6,72,40,6.31,SA,1619740279
viedma,-40.8135,-62.9967,69.87,44,91,16.33,AR,1619740279
neuquen,-38.9516,-68.0591,60.8,94,0,2.77,AR,1619739626
half moon bay,37.4636,-122.4286,72.0,82,75,11.5,US,1619739697
narsaq,60.9167,-46.05,37.4,81,1,6.91,GL,1619739509
santo antonio do ica,-3.1022,-67.9397,73.51,97,80,0.6,BR,1619740280
roald,62.5833,6.1333,37.4,81,13,12.66,NO,1619739639
erenhot,43.6475,111.9767,44.15,17,99,12.01,CN,1619739717
san cristobal,7.7669,-72.225,75.2,100,75,3.44,VE,1619740281
nikolskoye,59.7035,30.7861,32.0,69,0,1.99,RU,1619740281
bethel,41.3712,-73.414,66.2,77,90,10.36,US,1619740282
shimoda,34.6667,138.95,68.0,63,20,13.8,JP,1619739600
madras,13.0878,80.2785,84.99,83,20,2.3,IN,1619740096
torrelavega,43.3494,-4.0479,51.01,92,90,3.0,ES,1619740282
kloulklubed,7.0419,134.2556,80.6,89,75,4.61,PW,1619740283
nanortalik,60.1432,-45.2371,37.22,84,9,9.95,GL,1619739725
lata,40.1629,-8.3327,55.0,89,95,3.0,PT,1619740283
dingle,10.9995,122.6711,82.08,53,29,4.65,PH,1619740284
banda aceh,5.5577,95.3222,80.02,79,87,2.75,ID,1619740284
matoury,4.8483,-52.3317,78.01,88,0,2.3,GF,1619740284
urengoy,65.9667,78.3667,29.59,94,100,11.81,RU,1619739776
chifeng,42.2683,118.9636,45.95,18,41,7.09,CN,1619740285
oranjestad,12.524,-70.027,80.6,78,20,16.11,AW,1619739441
manuk mangkaw,4.8,119.85,84.06,69,48,5.75,PH,1619740285
zyryanka,65.75,150.85,32.43,87,100,2.26,RU,1619740286
saint george,37.1041,-113.5841,86.0,12,1,8.05,US,1619740286
sur,22.5667,59.5289,85.73,40,95,4.99,OM,1619740286
maniitsoq,65.4167,-52.9,35.44,79,98,6.4,GL,1619740287
belyy yar,53.6039,91.3903,42.8,93,75,2.13,RU,1619739772
la asuncion,11.0333,-63.8628,66.2,100,100,5.75,VE,1619740032
sao joao da barra,-21.6403,-41.0511,69.3,83,28,11.92,BR,1619740287
ankpa,7.3706,7.6253,76.71,65,89,5.73,NG,1619740288
kavieng,-2.5744,150.7967,84.47,69,57,6.62,PG,1619740288
bressuire,46.9167,-0.5,48.99,71,100,5.77,FR,1619740288
naze,28.3667,129.4833,69.8,78,0,13.8,JP,1619739624
emerald,-23.5333,148.1667,73.4,60,75,13.8,AU,1619740289
nouadhibou,20.931,-17.0347,66.2,88,40,13.8,MR,1619740289
santa maria,-29.6842,-53.8069,62.6,72,0,3.44,BR,1619739706
adre,13.4667,22.2,79.23,11,51,7.9,TD,1619740290
leh,34.1667,77.5833,34.18,54,45,1.88,IN,1619739785
souillac,-20.5167,57.5167,77.0,83,75,10.36,MU,1619739756
pisco,-13.7,-76.2167,66.99,88,2,4.61,PE,1619739507
hamada,34.8833,132.0833,66.2,55,20,18.41,JP,1619740291
myatlevo,54.8969,35.6762,44.6,57,100,6.71,RU,1619740291
aragats,40.4889,44.3528,55.4,76,20,4.61,AM,1619740291
jumla,29.2747,82.1838,46.4,69,25,5.32,NP,1619739768
columbus,39.9612,-82.9988,59.0,94,90,6.91,US,1619740292
gorontalo,0.5412,123.0595,83.19,73,96,1.1,ID,1619739826
dana point,33.467,-117.6981,75.99,64,1,4.0,US,1619740292
aklavik,68.2191,-135.0107,39.2,41,63,5.75,CA,1619739793
kampong chhnang,12.1667,104.55,78.84,80,78,4.12,KH,1619740293
salalah,17.0151,54.0924,82.4,83,75,5.75,OM,1619739660
ketchikan,55.3422,-131.6461,48.2,93,90,19.57,US,1619740293
samana,19.2056,-69.3369,80.6,74,40,8.66,DO,1619740293
ola,59.5833,151.2833,35.73,66,48,2.62,RU,1619740294
campina verde,-19.5356,-49.4864,69.31,35,100,6.35,BR,1619740294
richards bay,-28.783,32.0377,71.83,81,89,11.68,ZA,1619739658
baruun-urt,46.6806,113.2792,34.81,45,54,7.25,MN,1619740295
port macquarie,-31.4333,152.9167,66.0,77,8,8.05,AU,1619740295
greytown,-29.0642,30.5928,58.17,91,100,2.8,ZA,1619740295
quatre cocos,-20.2078,57.7625,77.0,83,75,10.36,MU,1619739719
redcar,54.6166,-1.06,39.0,88,22,1.99,GB,1619740296
port victoria,0.0939,33.9756,71.6,74,100,1.54,KE,1619740296
shenjiamen,29.9576,122.298,64.36,75,0,4.47,CN,1619740297
xai-xai,-25.0519,33.6442,69.12,76,0,8.16,MZ,1619739791
oranjemund,-28.55,16.4333,55.83,88,2,13.85,NA,1619739753
lahij,13.1667,44.5833,77.76,66,61,4.94,YE,1619740297
lakes entrance,-37.8811,147.981,62.62,50,6,2.3,AU,1619739704
dunedin,-45.8742,170.5036,52.0,91,100,13.0,NZ,1619740090
san rafael,-34.6177,-68.3301,66.0,46,0,9.17,AR,1619740298
labuan,5.2767,115.2417,77.0,100,20,5.95,MY,1619740298
taoudenni,22.6783,-3.9836,90.55,21,72,22.91,ML,1619740299
pacific grove,36.6177,-121.9166,60.8,63,40,9.22,US,1619739734
marfino,55.7028,37.3822,45.0,61,0,6.71,RU,1619740299
livramento,-3.0254,-60.1803,82.4,89,40,2.3,BR,1619740299
sainte-suzanne,-20.9061,55.6089,73.4,94,75,14.97,RE,1619740300
boma,7.0805,-2.1697,75.2,90,97,2.91,GH,1619740300
mehran,33.1222,46.1646,60.8,39,0,2.3,IR,1619740301
vostok,46.4856,135.8833,51.22,31,54,4.25,RU,1619740301
zhangye,38.9342,100.4517,61.59,21,1,0.92,CN,1619740301
riyadh,24.6877,46.7219,73.4,35,0,7.11,SA,1619739516
rocha,-34.4833,-54.3333,55.67,83,0,3.89,UY,1619740302
hamilton,39.1834,-84.5333,62.01,78,100,4.0,US,1619740294
avarua,-21.2078,-159.775,84.2,84,75,10.36,CK,1619740302
pringsewu,-5.3582,104.9744,75.9,94,100,2.82,ID,1619740303
san pedro,14.35,121.0167,84.99,79,40,2.3,PH,1619740264
victoria,22.2855,114.1577,75.0,84,91,4.59,HK,1619740303
nuuk,64.1835,-51.7216,28.4,100,90,9.22,GL,1619739748
mbeya,-8.9,33.45,57.38,97,66,4.38,TZ,1619740304
revda,56.801,59.9303,35.6,93,40,4.47,RU,1619740304
pascagoula,30.3658,-88.5561,82.4,69,20,6.91,US,1619740304
westport,41.1415,-73.3579,62.01,100,100,10.47,US,1619740305
santa cruz,-17.8,-63.1667,73.4,56,20,5.75,BO,1619740305
